# phi(rad) 	 phi(deg) 	 v_x(m/s) 	 v_y(m/s)
0	0	-18642.6	-49991.5
0.251327	14.4	-18869.9	-49621.4
0.502655	28.8	-18836.6	-53855.2
0.753982	43.2	-18706	-55343.6
1.00531	57.6	-18747.8	-60941.8
1.25664	72	-19204.5	-67227.7
1.50796	86.4	-20076.5	-75436.4
1.75929	100.8	-21650.1	-56455
2.01062	115.2	-21664.8	-25121.8
2.26195	129.6	-22528.1	28138.6
2.51327	144	-20517.7	50889.3
2.7646	158.4	-20130.8	63931.1
3.01593	172.8	-21328.1	67231.2
3.26726	187.2	-21704.4	56011.5
3.51858	201.6	-20493.3	57624.6
3.76991	216	-21511.9	60392.6
4.02124	230.4	-21078.3	46239.3
4.27257	244.8	-21646.1	-7920.18
4.52389	259.2	-21583.1	-48929.5
4.77522	273.6	-20459.8	-64574.5
5.02655	288	-19278	-65384.1
5.27788	302.4	-19769.6	-64875.4
5.5292	316.8	-19097.4	-57274.3
5.78053	331.2	-18606.1	-50597.2
6.03186	345.6	-19899.8	-52991.5
6.28319	360	-18577.7	-46442.4
